ID,Universitatea,Cod_acord,Pers_contact
1,"Cukurova Universitesi","TR ADANA01","George ADIR"
2,"Eskisehir Osmangazi Universitesi","TR ESKISEH02","Alexandra BANU"
3,"Ecole Nationale Superieure de Techniques Avancees Bretagne","F BREST08","Dan Mihai CONSTANTINESCU"
4,"University of Zadar","HR ZADAR01","Costel Emil COTET"
5,"Ecole Centrale de Paris","F CHATENA02","Costel Emil COTET"
6,"University of Ljubljana","SI LJUBLJA01","Costel Emil COTET"
7,"Panepistimio Pantron","G PATRA01","Costel Emil COTET"
8,"Ecole Catholique d'Arts et Metiers (ECAM) Lyon","F LYON13","Costel Emil COTET"
9,"Universidad de Malaga","E MALAGA01","Costel Emil COTET"
10,"Universidad Politecnica de Madrid","E MADRID05","Gabriel Marius DUMITRU"
11,"Maltepe University","TR ISTANBU18","George ENCIU"
12,"Ecole Nationale Superieure d'Arts et Metiers, Cluny","F PARIS062","Mihalache GHINEA"
13,"Angel Kanchev University of Rousse","BG ROUSSE01","Mihalache GHINEA"
14,"Institut National Polytechnique de Grenoble","F GRENOBL22","Robert IACOB"
15,"Istanbul Technical University","TR ISTANBU04","Gabriel JIGA "
16,"Ecole Centrale de Paris","F CHATENA02","Gabriel JIGA "
17,"University of Gaziantep","TR GAZIANT01","Gabriel JIGA "
18,"Universitat Stuttgart","D STUTTGA01","Gabriel JIGA "
19,"Universite Bordeaux I","F BORDEAU01","Gabriel JIGA "
20,"Linkopings Universitet","S LINKOPI01","Gabriel JIGA "
21,"Marmara Universitesi","TR ISTANBU05","Gabriel JIGA "
22,"Eskisehir Osmangazi Universitesi","TR ESKISEH02","Gabriel JIGA "
23,"Universite de Bourgogne - Dijon","F DIJON01","Gabriel JIGA "
24,"Dokuz Eylul Universitesi","TR IZMIR01","Gabriel JIGA "
25,"Politecnico di Torino","I TORINO02","Gabriel JIGA "
26,"Politecnico di Milano","I MILANO02","Gabriel JIGA "
27,"Technological Educational Institute of Patras","G PATRA04","Gabriel JIGA "
28,"Panepistimio Pantron","G PATRA01","Gabriel JIGA "
29,"Universidad del Pais Vasco","E BILBAO01","Gabriel JIGA "
30,"Instituto Politecnico de Coimbra","P COIMBRA02","Gabriel JIGA "
31,"Technical University of Gabrovo","BG GABROVO01","Gabriel JIGA "
32,"Universite de Lorraine","F NANCY43","Gabriel JIGA "
33,"Seconda Universita degli Studi di Napoli","I NAPOLI09","Gabriel JIGA "
34,"Ecole Nationale d'Ingenieurs de Tarbes","F TARBES03","Gabriel JIGA "
35,"Universidad Politecnica de Madrid","E MADRID05","Gabriel JIGA "
36,"Universite de Bourgogne - Dijon","F DIJON01","Horia GHEORGHIU"
37,"Lancaster University","UK LANCS01","Mihaela LUPEANU"
38,"Technical University of Kosice","SK KOSICE03","Cristina MOHORA"
39,"Universite Paris 13","F PARIS013","Cristina MOHORA"
40,"Universidad del Pais Vasco","E BILBAO01","Constantin OCNARESCU"
41,"Lublin University of Technology","PL LUBLIN03","Adrian OLARU"
42,"Technical University of Kosice","SK KOSICE03","Adrian OLARU"
43,"Seconda Universita degli Studi di Napoli","I NAPOLI09","Constantin OPRAN"
44,"Universidade do Porto","P PORTO02","Stefan Dan PASTRAMA"
45,"Institut National des Sciences Appliquees de Lyon","F LYON12","Gina STOICA"
46,"Akdeniz University","TR ANTALYA01","Elena Mihaela ULMEANU"
47,"Technological Educational Institute of Thessaly","G LARISSA02","Elena Mihaela ULMEANU"
50,UPB,"RO BUC12","Cristian BOB "
